#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.5.101
#tb 0: 1/25
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1024x576
#sar 0: 1/1
#tb 1: 1/48000
#media_type 1: audio
#codec_id 1: pcm_s16le
#sample_rate 1: 48000
#channel_layout_name 1: mono
#stream#, dts,        pts, duration,     size, hash
0,          7,          7,        1,  2359296, 80c898cef12d237786d83280cf814782
1,      14336,      14336,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,          8,          8,        1,  2359296, 1ebdeae57b4701ebf55fae5cb4c9f904
1,      15360,      15360,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      16384,      16384,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,          9,          9,        1,  2359296, be0517dd0bd30a6a407501ac8cf925f4
1,      17408,      17408,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      18432,      18432,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         10,         10,        1,  2359296, 3cf125e9b7b7919116bb777332f6c6b0
1,      19456,      19456,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      20480,      20480,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         11,         11,        1,  2359296, c55cce5239c65e698755521f872ee37a
1,      21504,      21504,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      22528,      22528,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         12,         12,        1,  2359296, 02929e54159b9d37b1fbfdc2bf115d61
1,      23552,      23552,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      24576,      24576,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         13,         13,        1,  2359296, 4473cdf544d87b3f06f45d796dbfd82d
1,      25600,      25600,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      26624,      26624,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         14,         14,        1,  2359296, 6adefa043f9918fd07440ddeae9de1a7
1,      27648,      27648,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      28672,      28672,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         15,         15,        1,  2359296, 2c801a781777839cf7236a756283f2e3
1,      29696,      29696,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         16,         16,        1,  2359296, 8ae65a9b4581927871471dd90704ecae
1,      30720,      30720,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      31744,      31744,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         17,         17,        1,  2359296, 24d5b1644727a0de1100b9e2150dd1eb
1,      32768,      32768,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      33792,      33792,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         18,         18,        1,  2359296, 9d78362ae921e8fdc9d03489b57cb920
1,      34816,      34816,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      35840,      35840,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         19,         19,        1,  2359296, 5a2826cd2c3475b113bb2e97379ec287
1,      36864,      36864,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      37888,      37888,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         20,         20,        1,  2359296, a0c5681d39f0f051966860fa9cf14a78
1,      38912,      38912,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      39936,      39936,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         21,         21,        1,  2359296, d0f3cd5413e5b7ec38c7026ae9a0c8ec
1,      40960,      40960,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      41984,      41984,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         22,         22,        1,  2359296, 82da72a364cedfb2768d95d5ac8cc8ac
1,      43008,      43008,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      44032,      44032,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         23,         23,        1,  2359296, cb84544f652b2a7cae43e66d6940b978
1,      45056,      45056,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         24,         24,        1,  2359296, 495facdfcdb7f9f7086bf0b22170c048
1,      46080,      46080,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      47104,      47104,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         25,         25,        1,  2359296, 47f9cb3b5bb1bffd0b83e10c9092640d
1,      48128,      48128,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      49152,      49152,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         26,         26,        1,  2359296, 88f57759dc550f13b5afee82f44dc10d
1,      50176,      50176,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      51200,      51200,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         27,         27,        1,  2359296, 30240c3994d73ba15edef83d919b281b
1,      52224,      52224,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      53248,      53248,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         28,         28,        1,  2359296, a29455a81693227d5e5913f461277fbd
1,      54272,      54272,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      55296,      55296,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         29,         29,        1,  2359296, bd73e27a9186667136f4ced66bf20bbb
1,      56320,      56320,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      57344,      57344,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         30,         30,        1,  2359296, 59f9396ac31a9304b1a3706f42e361e0
1,      58368,      58368,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      59392,      59392,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         31,         31,        1,  2359296, 144232fce984ea3150c59b056a6ce822
1,      60416,      60416,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         32,         32,        1,  2359296, e598af18493e03ca2f2628402c3148e5
1,      61440,      61440,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      62464,      62464,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         33,         33,        1,  2359296, 161416b199b0245902bd374232e7dc09
1,      63488,      63488,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      64512,      64512,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         34,         34,        1,  2359296, 4ca1de21f31775b8aa28b3c7dd516c32
1,      65536,      65536,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      66560,      66560,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         35,         35,        1,  2359296, 34fa0460479972ca341534521993c8f4
1,      67584,      67584,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      68608,      68608,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         36,         36,        1,  2359296, d32e52e189543eb56df01d48cd4db3e5
1,      69632,      69632,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      70656,      70656,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         37,         37,        1,  2359296, 01a36527274f71c20ccca78f5f1fe9d3
1,      71680,      71680,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      72704,      72704,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         38,         38,        1,  2359296, ad648aa70d8729f38adb2ea24c747506
1,      73728,      73728,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      74752,      74752,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         39,         39,        1,  2359296, d3d0cbe6cfd5d0e71a2c9538d8d55fa3
1,      75776,      75776,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         40,         40,        1,  2359296, 966282287119f078c88cbfc8cdd171c0
1,      76800,      76800,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      77824,      77824,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         41,         41,        1,  2359296, 05b063d95d62c57d923a308cc1207c0a
1,      78848,      78848,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      79872,      79872,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         42,         42,        1,  2359296, 84c95fdd79f667d37cc277c4ace339d3
1,      80896,      80896,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      81920,      81920,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         43,         43,        1,  2359296, fa1e7b70f7462f90c78ae2445b7e14d9
1,      82944,      82944,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      83968,      83968,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         44,         44,        1,  2359296, e6a9875721b99e7ac225c0ff45929007
1,      84992,      84992,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      86016,      86016,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         45,         45,        1,  2359296, cf53b4f9ffbf5dec5062a84d4d0bfb04
1,      87040,      87040,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      88064,      88064,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         46,         46,        1,  2359296, 8c888c99f2ffbc4768f8328810bfcaa7
1,      89088,      89088,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      90112,      90112,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         47,         47,        1,  2359296, 570d2c879d486ef8311630bc0e514578
1,      91136,      91136,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         48,         48,        1,  2359296, ab2d2ac12da19b1e3acf6f93aa8e68be
1,      92160,      92160,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      93184,      93184,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         49,         49,        1,  2359296, 51aa9e14d701dc9f70079ff06eedf926
1,      94208,      94208,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,      95232,      95232,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         50,         50,        1,  2359296, 96171a2533d9c690a18046e7796561fc
1,      96256,      96256,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,      97280,      97280,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         51,         51,        1,  2359296, 2c8fbef5318e94d8124726d2c356ae32
1,      98304,      98304,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,      99328,      99328,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         52,         52,        1,  2359296, 1658f944d6c5b810e7e34639c9d2f417
1,     100352,     100352,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,     101376,     101376,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         53,         53,        1,  2359296, de0f292d701569123a92ac1905b9e668
1,     102400,     102400,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,     103424,     103424,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         54,         54,        1,  2359296, f38d51ce6b549533922c0a2ba9509132
1,     104448,     104448,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,     105472,     105472,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         55,         55,        1,  2359296, 1cd08f554fd7cefad205fde269a37de3
1,     106496,     106496,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         56,         56,        1,  2359296, 3b2b942f284ac1292e3bfb611fdc48fc
1,     107520,     107520,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,     108544,     108544,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         57,         57,        1,  2359296, 7471458cc22143ed6766e9919672b4c9
1,     109568,     109568,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,     110592,     110592,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         58,         58,        1,  2359296, f1a081101ec460a53725bbca34cc7358
1,     111616,     111616,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,     112640,     112640,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         59,         59,        1,  2359296, b56df7c614e6df8372e4373bfd19137c
1,     113664,     113664,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,     114688,     114688,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         60,         60,        1,  2359296, fa06a9b8ef5ae20f886546290d506786
1,     115712,     115712,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,     116736,     116736,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         61,         61,        1,  2359296, 0753f91d29c92f39d22f293f0f087df9
1,     117760,     117760,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,     118784,     118784,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         62,         62,        1,  2359296, e240f132929bb5ca47a97cd023dc63e8
1,     119808,     119808,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,     120832,     120832,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         63,         63,        1,  2359296, 9f1dd8390e381a1bfc4dd1498aeb4d71
1,     121856,     121856,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         64,         64,        1,  2359296, f10a6c35d1458e81a136f487d458bc2b
1,     122880,     122880,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,     123904,     123904,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         65,         65,        1,  2359296, 2e1f341aa2260a690f420bc7fb2946db
1,     124928,     124928,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
1,     125952,     125952,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
0,         66,         66,        1,  2359296, 1b56877a296fb8f73b1ab5007997ba4c
1,     126976,     126976,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
1,     128000,     128000,     1024,     2048, 962b2ca16955a70a9eb4b697d09498fd
0,         67,         67,        1,  2359296, 29413b33f88247a119551adf1b046330
1,     129024,     129024,     1024,     2048, 840c71928835fc98bbd4ce45b25d500b
1,     130048,     130048,     1024,     2048, 024601eff5ce1889cbc15a995861e8b1
0,         68,         68,        1,  2359296, e90fbc53089e27f22bf34b48a91acc9b
1,     131072,     131072,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     132096,     132096,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,         69,         69,        1,  2359296, 60f19983fb7a39544d3a5a082674feb1
1,     133120,     133120,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     134144,     134144,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         70,         70,        1,  2359296, a5161942623c8cb5b9668cb7d5be5c9b
1,     135168,     135168,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     136192,     136192,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         71,         71,        1,  2359296, 960da42a6646bb2469794219227d04cc
1,     137216,     137216,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         72,         72,        1,  2359296, be2bc32cdbfaf772aff0d7f765fc33e1
1,     138240,     138240,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     139264,     139264,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         73,         73,        1,  2359296, 89997e4cd1f8a2fd9182efb4b4425d4a
1,     140288,     140288,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     141312,     141312,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,         74,         74,        1,  2359296, 22d9570e31ab732273de0c9b295e38cf
1,     142336,     142336,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     143360,     143360,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         75,         75,        1,  2359296, 3f8a411e1f4d0a710f6fdd581fedc2d0
1,     144384,     144384,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     145408,     145408,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         76,         76,        1,  2359296, a58923cf85f2b6deda529926f5d3c93b
1,     146432,     146432,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     147456,     147456,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,         77,         77,        1,  2359296, 54c6844568c49f04df8fc0e36afb1b18
1,     148480,     148480,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     149504,     149504,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         78,         78,        1,  2359296, 3cc9b47e516f16f2e8cc140475e81dfe
1,     150528,     150528,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     151552,     151552,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         79,         79,        1,  2359296, b0e76bd0d9572a7133c5a5e124257511
1,     152576,     152576,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         80,         80,        1,  2359296, 72b40bf16908b0b1e1ced17c5417d539
1,     153600,     153600,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     154624,     154624,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         81,         81,        1,  2359296, 6562f740e7eb1cf555d488ed4da6222b
1,     155648,     155648,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     156672,     156672,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,         82,         82,        1,  2359296, 67e6aafa3fa45f070ebcb36a4129b436
1,     157696,     157696,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     158720,     158720,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         83,         83,        1,  2359296, 597b11f334cd6cc9eb27c0dbfd878b80
1,     159744,     159744,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     160768,     160768,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         84,         84,        1,  2359296, d4ecf2d540d6307c364f3bf04fe9e85d
1,     161792,     161792,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     162816,     162816,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,         85,         85,        1,  2359296, 2b1eb137a097e98992e65e4f37a2a48d
1,     163840,     163840,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     164864,     164864,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         86,         86,        1,  2359296, d7cbf3345cb06c9b718938594b50869d
1,     165888,     165888,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     166912,     166912,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         87,         87,        1,  2359296, 12612e5ba38091fcbb02617eeca4aea5
1,     167936,     167936,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         88,         88,        1,  2359296, 52bf7b9ba09034769b1ac8d5f578fd53
1,     168960,     168960,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     169984,     169984,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         89,         89,        1,  2359296, fa2fff014f2fe3092517164cfd3dc2bd
1,     171008,     171008,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     172032,     172032,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,         90,         90,        1,  2359296, bed2f480263b96bcde385407af10f479
1,     173056,     173056,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     174080,     174080,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         91,         91,        1,  2359296, 5debd6451fe616952baff2d6a1aa54ba
1,     175104,     175104,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     176128,     176128,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         92,         92,        1,  2359296, e35381ff982f3468498fe2768cac36c3
1,     177152,     177152,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     178176,     178176,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,         93,         93,        1,  2359296, 5a60eae9bb9f1335e4ed410dd67f585e
1,     179200,     179200,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     180224,     180224,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         94,         94,        1,  2359296, 6e4da3a88858c1ebf1774d0fa799a03d
1,     181248,     181248,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     182272,     182272,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         95,         95,        1,  2359296, 115f2285614ff5dc9b837f8784259dc1
1,     183296,     183296,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         96,         96,        1,  2359296, 6fbe864589e11f247ac4d98064df8ca3
1,     184320,     184320,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     185344,     185344,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,         97,         97,        1,  2359296, d59ee418237e4c12d4f18fdacb59ca08
1,     186368,     186368,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     187392,     187392,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,         98,         98,        1,  2359296, 2ce870e0c18ee563863c503de7ce8f4d
1,     188416,     188416,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     189440,     189440,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,         99,         99,        1,  2359296, 10fb21a57336ef56f8bb64effb289960
1,     190464,     190464,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     191488,     191488,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        100,        100,        1,  2359296, 44fa5fcbf648683bacc939f6459abc8c
1,     192512,     192512,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     193536,     193536,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,        101,        101,        1,  2359296, 1ee7c70634b1ad31c4cfde920d159e4a
1,     194560,     194560,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     195584,     195584,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        102,        102,        1,  2359296, bfbd64c85ff4a58c2d05a6486ffbf5d9
1,     196608,     196608,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     197632,     197632,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        103,        103,        1,  2359296, ffbcba75715a47a2cd4ac4e9dc2cd5bd
1,     198656,     198656,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        104,        104,        1,  2359296, 06817d2e299feff25bc96f5ead2a1151
1,     199680,     199680,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     200704,     200704,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        105,        105,        1,  2359296, c1abbcaba85de567c92ba5bbf94e05eb
1,     201728,     201728,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     202752,     202752,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,        106,        106,        1,  2359296, 82ca6e08c3feec0778c0c9fe0a30a204
1,     203776,     203776,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     204800,     204800,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        107,        107,        1,  2359296, ee8a7ce443b736667ef0ea455082303d
1,     205824,     205824,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     206848,     206848,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        108,        108,        1,  2359296, 9a3311e7c069486a1321d9e079511875
1,     207872,     207872,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     208896,     208896,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,        109,        109,        1,  2359296, 0375e67af2f15d2d8d6ddce6627642fc
1,     209920,     209920,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     210944,     210944,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        110,        110,        1,  2359296, f518f59179a6ff70974887c2a67970d0
1,     211968,     211968,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     212992,     212992,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        111,        111,        1,  2359296, 2a443a7b6b52f517536079e1dd386805
1,     214016,     214016,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        112,        112,        1,  2359296, 4620a9946ba297a3b90953d1d8f2fc8c
1,     215040,     215040,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     216064,     216064,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        113,        113,        1,  2359296, 10f73122386055a17df27889ca0665b5
1,     217088,     217088,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     218112,     218112,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,        114,        114,        1,  2359296, 36facaf7ece1c390c47b08239a603428
1,     219136,     219136,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
1,     220160,     220160,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
0,        115,        115,        1,  2359296, 20673baed809dbea591079bd283d1de1
1,     221184,     221184,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
1,     222208,     222208,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
0,        116,        116,        1,  2359296, e27f5fea00c8af6afecf9e47f0739e5d
1,     223232,     223232,     1024,     2048, 643d12d4944b616ec365fc93d1d4e1d9
1,     224256,     224256,     1024,     2048, 7989f94bddeb3bce8a6d970e63b6684f
0,        117,        117,        1,  2359296, 1cef1fb2867d30068546b9d973fc9396
1,     225280,     225280,     1024,     2048, aa6ab6fb4388a9bc218c181083381c4c
